12,180
181,180
181,183
183,182
182,184
184,185
185,186
186,187
187,188
188,189
189,190
190,66
201,180
201,202
202,203
203,204
204,205
205,206
206,207
209,210
210,211
211,212
212,220
56,220
220,213
213,214
214,190
190,200
200,219
219,218
218,217
217,198
193,194
194,195
195,196
196,197
197,198
198,199
199,200
181,194
193,129
182,195
182,204
204,209
203,183
10,202
205,184
206,186
210,206
211,207
207,187
212,208
208,188
188,198
213,189
189,199
199,218
187,197
185,196
197,216
216,128
196,215
215,216
66,223
66,221
66,191
191,192
223,224
224,225
224,191
221,222
192,226
226,227
6,0
180,5
181,6
193,30
30,29
202,4
202,8
8,7
4,1
1,2
1,3
202,16
16,15
203,14
14,13
18,203
18,17
203,19
203,22
204,22
22,20
20,21
183,21
182,21
183,24
183,25
182,25
182,26
209,28
28,27
205,32
205,34
32,31
34,33
34,184
36,210
36,35
211,46
46,45
211,53
53,212
208,52
212,48
211,48
48,47
212,49
51,187
51,188
140,188
187,140
187,133
133,130
133,131
133,134
134,132
207,44
44,187
42,211
42,207
42,41
44,43
210,38
38,206
38,37
206,40
40,186
40,39
129,81
81,80
193,79
194,83
195,84
85,129
129,86
89,129
89,88
129,87
195,78
195,100
78,77
77,76
76,75
75,74
74,73
73,72
26,73
26,70
70,69
25,23
24,23
23,26
71,194
71,181
100,99
99,98
98,97
97,96
96,95
95,93
93,94
94,92
92,91
91,90
90,182
185,102
196,103
185,103
103,107
196,107
196,110
196,109
196,106
106,105
195,105
104,105
104,106
195,109
109,108
215,110
215,111
215,113
113,112
83,82
187,116
187,115
186,114
119,196
185,119
186,118
118,117
197,120
187,120
187,118
196,122
197,122
122,121
122,125
125,124
125,123
216,127
127,126
128,147
147,145
145,216
216,147
197,138
138,137
197,136
187,136
136,135
188,141
141,198
198,142
197,142
139,141
140,139
139,142
217,144
217,149
217,148
144,143
143,148
145,143
147,146
217,159
159,157
159,158
200,165
165,219
165,164
218,160
199,160
199,156
155,217
198,155
155,154
156,154
189,151
188,151
151,150
150,153
153,152
189,55
55,188
55,54
208,54
220,54
213,59
59,189
213,60
60,214
60,57
59,57
189,58
58,57
58,190
189,163
190,163
189,162
162,199
163,161
162,161
53,50
50,52
50,51
12,11
11,9
9,10
84,82
62,213
214,63
62,61
66,167
223,167
66,65
65,64
223,65
224,167
167,191
224,169
168,224
168,225
225,170
225,169
66,176
191,176
176,221
191,172
192,172
226,172
226,173
192,171
171,226
221,174
222,174
222,179
179,178
177,222
222,175
175,221
102,101
101,103
110,108
16,203
166,200
67,68
68,66
