12,30
11,12
30,31
31,32
32,33
33,114
114,47
82,83
83,84
84,85
85,93
84,86
86,87
34,86
35,87
37,89
36,88
88,89
85,88
38,90
90,93
90,91
91,39
93,94
94,44
95,0
43,42
43,95
96,42
97,42
96,29
29,27
27,25
97,28
28,26
26,24
22,23
23,21
117,97
117,118
21,117
20,118
19,20
0,114
114,44
115,49
115,98
47,115
98,99
115,57
57,58
58,59
59,71
71,116
116,102
116,103
102,101
103,104
116,77
104,105
105,106
106,78
107,81
107,79
107,108
113,108
113,112
112,111
111,110
110,67
111,66
113,65
56,63
54,56
54,53
53,52
18,52
18,17
17,16
119,100
100,46
46,45
45,41
101,109
109,73
73,1
1,72
109,75
109,74
74,76
3,4
3,13
3,11
119,120
119,61
120,60
41,40
15,124
124,14
124,16
49,122
122,123
123,2
70,121
121,104
121,107
99,62
70,69
69,68
94,50
55,99
55,51
10,125
125,126
126,9
126,127
127,7
125,12
12,82
22,6
19,5
48,115
79,80
63,65
65,64
8,9
8,10
8,7
62,104
74,129
129,128
77,128
128,130
80,130
130,131
131,13
131,132
132,3
132,133
133,4
133,129
91,92
